Symbol	Description	Chromosome	Aliases
A1BG	alpha-1-B glycoprotein	19	A1B, ABG, GAB, HYST2477
A2M	alpha-2-macroglobulin	12	A2MD, CPAMD5, FWP007, S863-7
A2MP1	alpha-2-macroglobulin pseudogene 1	12	A2MP
A4GNT	alpha-1,4-N-acetylglucosaminyltransferase	3	alpha4GnT
AAMP	angio associated migratory cell protein	2	
AANAT	aralkylamine N-acetyltransferase	17	DSPS, SNAT
AATBC	apoptosis associated transcript in bladder cancer	21	
AATF	apoptosis antagonizing transcription factor	17	BFR2, CHE-1, CHE1, DED
AATK	apoptosis associated tyrosine kinase	17	AATYK, AATYK1, LMR1, LMTK1, PPP1R77, p35BP
ABCA1	ATP binding cassette subfamily A member 1	9	ABC-1, ABC1, CERP, HDLDT1, TGD
ABCA12	ATP binding cassette subfamily A member 12	2	ARCI4A, ARCI4B, ICR2B, LI2
ABCA3	ATP binding cassette subfamily A member 3	16	ABC-C, ABC3, EST111653, LBM180, SMDP3
ABCA8	ATP binding cassette subfamily A member 8	17	
ABCB1	ATP binding cassette subfamily B member 1	7	ABC20, CD243, CLCS, GP170, MDR1, P-GP, PGY1
ABCB11	ATP binding cassette subfamily B member 11	2	ABC16, BRIC2, BSEP, PFIC-2, PFIC2, PGY4, SPGP
ABCB4	ATP binding cassette subfamily B member 4	7	ABC21, GBD1, ICP3, MDR2, MDR2/3, MDR3, PFIC-3, PGY3
ABCB5	ATP binding cassette subfamily B member 5	7	ABCB5alphabeta, EST422562, ABCB5
ABCC1	ATP binding cassette subfamily C member 1	16	ABC29, ABCC, GS-X, MRP, MRP1
ABCC10	ATP binding cassette subfamily C member 10	6	EST182763, MRP7, SIMRP7
ABCC11	ATP binding cassette subfamily C member 11	16	EWWD, MRP8, WW
ABCC12	ATP binding cassette subfamily C member 12	16	MRP9
ABCC2	ATP binding cassette subfamily C member 2	10	ABC30, CMOAT, DJS, MRP2, cMRP
ABCC3	ATP binding cassette subfamily C member 3	17	ABC31, EST90757, MLP2, MOAT-D, MRP3, cMOAT2
ABCC4	ATP binding cassette subfamily C member 4	13	MOAT-B, MOATB, MRP4
ABCC5	ATP binding cassette subfamily C member 5	3	ABC33, EST277145, MOAT-C, MOATC, MRP5, SMRP, pABC11
ABCC8	ATP binding cassette subfamily C member 8	11	ABC36, HHF1, HI, HRINS, MRP8, PHHI, SUR, SUR1, SUR1delta2, TNDM2
ABCE1	ATP binding cassette subfamily E member 1	4	ABC38, OABP, RLI, RLI1, RNASEL1, RNASELI, RNS4I
ABCF1	ATP binding cassette subfamily F member 1	6	ABC27, ABC50
ABCF2	ATP binding cassette subfamily F member 2	7	ABC28, EST133090, HUSSY-18, HUSSY18
ABCG1	ATP binding cassette subfamily G member 1	21	ABC8, WHITE1
ABCG2	ATP binding cassette subfamily G member 2 (Junior blood group)	4	ABC15, ABCP, BCRP, BCRP1, BMDP, CD338, CDw338, EST157481, GOUT1, MRX, MXR, MXR-1, MXR1, UAQTL1
ABCG4	ATP binding cassette subfamily G member 4	11	WHITE2
ABCG8	ATP binding cassette subfamily G member 8	2	GBD4, STSL
ABHD11	abhydrolase domain containing 11	7	PP1226, WBSCR21
ABHD16B	abhydrolase domain containing 16B	20	C20orf135, dJ591C20.1
ABHD5	abhydrolase domain containing 5	3	CDS, CGI58, IECN2, NCIE2
ABHD6	abhydrolase domain containing 6	3	
ABHD8	abhydrolase domain containing 8	19	
ABI1	abl interactor 1	10	ABI-1, ABLBP4, E3B1, NAP1BP, SSH3BP, SSH3BP1
ABI2	abl interactor 2	2	ABI-2B, AIP-1, AblBP3, SSH3BP2, argBP1, argBPIA, argBPIB, ABI2
ABI3	ABI family member 3	17	NESH, SSH3BP3
ABI3BP	ABI family member 3 binding protein	3	NESHBP, TARSH
ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9	ABL, CHDSKM, JTK7, bcr/abl, c-ABL, c-ABL1, p150, v-abl
ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1	ABLL, ARG
ABLIM1	actin binding LIM protein 1	10	ABLIM, LIMAB1, LIMATIN, abLIM-1
ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	9	A3GALNT, A3GALT1, GTB, NAGAT
ABRAXAS1	abraxas 1, BRCA1 A complex subunit	4	ABRA1, CCDC98, FAM175A
ACACA	acetyl-CoA carboxylase alpha	17	ACACD, ACC, ACC1, ACCA, ACACA
ACACB	acetyl-CoA carboxylase beta	12	ACC2, ACCB, HACC275
ACAP2	ArfGAP with coiled-coil, ankyrin repeat and PH domains 2	3	CENTB2, CNT-B2
ACAT1	acetyl-CoA acetyltransferase 1	11	ACAT, MAT, T2, THIL
ACAT2	acetyl-CoA acetyltransferase 2	6	
ACBD5	acyl-CoA binding domain containing 5	10	
ACD	ACD, shelterin complex subunit and telomerase recruitment factor	16	PIP1, PTOP, TINT1, TPP1
ACE	angiotensin I converting enzyme	17	ACE1, CD143, DCP, DCP1
ACE2	angiotensin I converting enzyme 2	X	ACEH
ACER2	alkaline ceramidase 2	9	ALKCDase2, ASAH3L
ACHE	acetylcholinesterase (Cartwright blood group)	7	ACEE, ARACHE, N-ACHE, YT
ACKR1	atypical chemokine receptor 1 (Duffy blood group)	1	CCBP1, CD234, DARC, DARC/ACKR1, Dfy, FY, GPD, GpFy, WBCQ1
ACKR2	atypical chemokine receptor 2	3	CCBP2, CCR10, CCR9, CMKBR9, D6, hD6
ACKR3	atypical chemokine receptor 3	2	CMKOR1, CXC-R7, CXCR-7, CXCR7, GPR159, RDC-1, RDC1
